current_role,data_vis_lib,prog_language,proportion_time-Gathering data,proportion_time-Cleaning data,proportion_time-Visualizing data,proportion_time-Model building/model selection,proportion_time-Putting the model into production,proportion_time-Finding insights in the data and communicating with stakeholders
Not employed,Matplotlib,Python,30.0,30.0,5.0,25.0,10.0,0.0
Student,,,30.0,30.0,5.0,5.0,20.0,10.0
Research Scientist,Matplotlib,Python,25.0,5.0,10.0,40.0,20.0,0.0
Student,ggplot2,,,,,,,
Student,,Python,10.0,15.0,15.0,20.0,30.0,0.0
Other,ggplot2,SAS/STATA,10.0,5.0,15.0,5.0,30.0,30.0
Other,,SQL,10.0,10.0,10.0,25.0,30.0,10.0
Other,Matplotlib,C/C++,,,,,,
Software Engineer,,Python,30.0,20.0,10.0,5.0,5.0,30.0
Data Scientist,Matplotlib,Python,5.0,20.0,30.0,20.0,10.0,10.0
Other,,C#/.NET,10.0,10.0,10.0,30.0,20.0,20.0
Business Analyst,ggplot2,C#/.NET,5.0,25.0,10.0,30.0,10.0,10.0
Data Analyst,ggplot2,SQL,10.0,30.0,10.0,20.0,10.0,10.0
Not employed,Matplotlib,Python,10.0,40.0,20.0,10.0,0.0,10.0
Other,,Python,20.0,10.0,20.0,15.0,20.0,15.0
Not employed,ggplot2,R,20.0,20.0,10.0,25.0,10.0,10.0
Software Engineer,,Python,10.0,10.0,5.0,20.0,20.0,5.0
Data Engineer,Matplotlib,Python,20.0,50.0,0.0,10.0,10.0,10.0
Data Scientist,Matplotlib,Python,10.0,30.0,20.0,15.0,10.0,10.0
Data Engineer,Matplotlib,MATLAB,20.0,10.0,20.0,20.0,10.0,10.0
Student,,Python,,,,,,
Software Engineer,Seaborn,C/C++,25.0,10.0,10.0,10.0,10.0,15.0
Software Engineer,Matplotlib,Python,,,,,,
Manager,ggplot2,Python,10.0,20.0,20.0,10.0,10.0,10.0
Student,,Python,15.0,5.0,15.0,20.0,20.0,15.0
Software Engineer,Matplotlib,C/C++,40.0,10.0,5.0,20.0,10.0,15.0
Business Analyst,ggplot2,Python,25.0,25.0,30.0,5.0,10.0,5.0
Student,Matplotlib,C/C++,10.0,0.0,0.0,40.0,50.0,0.0
Software Engineer,,C/C++,15.0,10.0,15.0,30.0,10.0,10.0
Data Analyst,ggplot2,R,20.0,20.0,0.0,30.0,30.0,0.0
Data Scientist,Matplotlib,Python,20.0,20.0,10.0,20.0,10.0,20.0
Data Scientist,Seaborn,Python,10.0,20.0,15.0,20.0,20.0,10.0
Software Engineer,Seaborn,Python,10.0,45.0,10.0,15.0,10.0,5.0
Data Scientist,Matplotlib,Python,10.0,30.0,50.0,10.0,0.0,0.0
Data Engineer,,,,,,,,
Student,Matplotlib,Python,30.0,10.0,10.0,40.0,5.0,5.0
Other,,,0.0,15.0,15.0,10.0,15.0,15.0
Data Analyst,ggplot2,R,10.0,45.0,15.0,10.0,0.0,20.0
Student,Matplotlib,Python,5.0,35.0,20.0,20.0,10.0,5.0
Data Scientist,,,10.0,30.0,20.0,15.0,10.0,15.0
Manager,,,20.0,50.0,20.0,10.0,0.0,0.0
Student,Matplotlib,Python,10.0,25.0,10.0,20.0,15.0,10.0
Data Scientist,,Python,30.0,20.0,20.0,10.0,10.0,5.0
Student,Matplotlib,Python,20.0,5.0,5.0,40.0,5.0,5.0
Data Analyst,,,10.0,10.0,10.0,30.0,20.0,20.0
Software Engineer,,Java,,,,,,
Software Engineer,Matplotlib,,,,,,,
Data Scientist,Matplotlib,Python,10.0,25.0,10.0,20.0,15.0,20.0
Software Engineer,Matplotlib,C#/.NET,,,,,,
Student,Matplotlib,Python,5.0,20.0,20.0,20.0,10.0,20.0
Not employed,,,,,,,,
Data Analyst,,Python,25.0,10.0,10.0,25.0,10.0,20.0
Consultant,Matplotlib,,0.0,25.0,10.0,25.0,15.0,25.0
Student,,MATLAB,20.0,0.0,20.0,60.0,0.0,0.0
Business Analyst,,,50.0,10.0,5.0,25.0,5.0,5.0
Research Scientist,ggplot2,Python,40.0,50.0,5.0,4.0,0.5,0.25
Not employed,,,10.0,20.0,10.0,15.0,15.0,15.0
Data Scientist,ggplot2,R,20.0,15.0,15.0,10.0,10.0,25.0
Student,,C/C++,1.0,5.0,15.0,40.0,10.0,10.0
Software Engineer,ggplot2,R,20.0,20.0,20.0,15.0,10.0,10.0
Not employed,,,25.0,10.0,15.0,20.0,10.0,15.0
Student,ggplot2,Java,5.0,65.0,5.0,20.0,5.0,0.0
Student,ggplot2,C/C++,25.0,25.0,25.0,0.0,0.0,0.0
Data Analyst,ggplot2,R,5.0,30.0,20.0,30.0,10.0,5.0
Data Scientist,Matplotlib,Python,5.0,25.0,25.0,25.0,10.0,5.0
Software Engineer,Geoplotlib,Java,30.0,30.0,20.0,10.0,5.0,5.0
Student,Seaborn,Python,10.0,10.0,15.0,35.0,10.0,10.0
Manager,Matplotlib,Javascript/Typescript,30.0,20.0,10.0,10.0,10.0,20.0
Student,Matplotlib,,5.0,35.0,5.0,50.0,5.0,0.0
Student,,Python,10.0,0.0,30.0,60.0,0.0,0.0
Student,,Python,5.0,15.0,25.0,0.0,0.0,25.0
Manager,Matplotlib,SQL,10.0,10.0,20.0,25.0,15.0,20.0
Other,,,52.0,30.0,18.0,0.0,0.0,0.0
Student,,Python,10.0,20.0,0.0,50.0,10.0,10.0
Data Engineer,,,10.0,40.0,0.0,20.0,30.0,0.0
Consultant,D3,Python,20.0,25.0,15.0,15.0,5.0,20.0
Software Engineer,Matplotlib,Python,10.0,40.0,25.0,15.0,0.0,0.0
Student,,Java,25.0,30.0,10.0,10.0,10.0,15.0
Student,,,,,,,,
Data Scientist,,Python,25.0,25.0,10.0,10.0,10.0,10.0
Salesperson,ggplot2,Python,10.0,25.0,15.0,30.0,10.0,10.0
Software Engineer,Matplotlib,Java,10.0,10.0,25.0,25.0,10.0,5.0
Research Assistant,Matplotlib,Python,10.0,30.0,10.0,35.0,5.0,10.0
Student,Plotly,C/C++,10.0,20.0,5.0,10.0,40.0,5.0
Research Scientist,,,20.0,0.0,0.0,70.0,0.0,0.0
Other,ggplot2,Python,15.0,30.0,10.0,25.0,10.0,10.0
Consultant,Matplotlib,Python,20.0,15.0,15.0,30.0,10.0,10.0
Software Engineer,Matplotlib,Python,10.0,20.0,30.0,10.0,10.0,20.0
Data Analyst,Matplotlib,Python,20.0,15.0,20.0,20.0,20.0,5.0
Data Scientist,ggplot2,,20.0,40.0,5.0,20.0,10.0,5.0
Student,,Python,,,,,,
Business Analyst,,Python,10.0,20.0,20.0,20.0,10.0,20.0
Software Engineer,Matplotlib,SQL,0.0,25.0,25.0,25.0,0.0,25.0
Student,Matplotlib,R,20.0,5.0,15.0,20.0,30.0,10.0
Student,Matplotlib,Python,50.0,20.0,10.0,10.0,5.0,5.0
Software Engineer,,Java,15.0,30.0,5.0,50.0,0.0,0.0
Student,Matplotlib,Python,1.0,19.0,20.0,30.0,20.0,0.0
Other,,Python,15.0,15.0,20.0,30.0,3.0,7.0
Data Analyst,Matplotlib,Python,20.0,20.0,10.0,20.0,20.0,10.0
Data Engineer,Matplotlib,Python,15.0,25.0,15.0,20.0,10.0,15.0
