current_role,data_vis_lib,prog_language,proportion_time-Gathering data,proportion_time-Cleaning data,proportion_time-Visualizing data,proportion_time-Model building/model selection,proportion_time-Putting the model into production,proportion_time-Finding insights in the data and communicating with stakeholders
Student,,,,,,,,
Data Scientist,Matplotlib,Python,10.0,25.0,25.0,15.0,10.0,15.0
Other,ggplot2,Python,10.0,5.0,30.0,40.0,0.0,15.0
Student,ggplot2,R,5.0,30.0,10.0,25.0,10.0,20.0
Student,Matplotlib,Python,10.0,40.0,5.0,20.0,10.0,0.0
Not employed,Matplotlib,Python,40.0,50.0,5.0,5.0,0.0,0.0
Data Scientist,Matplotlib,Python,20.0,35.0,20.0,5.0,10.0,10.0
Product/Project Manager,ggplot2,R,10.0,20.0,30.0,20.0,5.0,15.0
Data Scientist,ggplot2,R,30.0,40.0,5.0,15.0,5.0,5.0
Software Engineer,,C/C++,0.0,0.0,0.0,70.0,20.0,10.0
Data Scientist,ggplot2,R,10.0,20.0,10.0,10.0,20.0,30.0
Software Engineer,,PHP,0.0,0.0,0.0,0.0,0.0,0.0
Manager,Seaborn,Python,0.0,0.0,10.0,0.0,0.0,10.0
Software Engineer,,R,40.0,15.0,15.0,30.0,0.0,0.0
Student,ggplot2,C/C++,20.0,10.0,20.0,20.0,15.0,10.0
Student,ggplot2,C/C++,50.0,10.0,40.0,0.0,0.0,0.0
Other,Matplotlib,,,,,,,
Business Analyst,,,,,,,,
Research Assistant,ggplot2,R,10.0,20.0,10.0,15.0,15.0,20.0
Data Analyst,Matplotlib,Python,5.0,50.0,20.0,10.0,5.0,10.0
Data Scientist,,Python,0.0,10.0,10.0,40.0,10.0,30.0
Other,Other,Javascript/Typescript,20.0,20.0,30.0,0.0,0.0,30.0
Student,,C/C++,30.0,20.0,0.0,30.0,20.0,0.0
Student,,,,,,,,
Consultant,,Python,10.0,5.0,20.0,10.0,10.0,45.0
Student,,Python,,,,,,
Software Engineer,,Javascript/Typescript,100.0,0.0,0.0,0.0,0.0,0.0
Software Engineer,,Ruby,0.0,0.0,0.0,0.0,0.0,0.0
Data Analyst,,C#/.NET,10.0,10.0,10.0,70.0,0.0,0.0
Software Engineer,Matplotlib,Java,10.0,25.0,45.0,10.0,0.0,0.0
Student,ggplot2,,10.0,20.0,15.0,55.0,0.0,0.0
Business Analyst,Seaborn,,2.0,38.0,20.0,20.0,10.0,10.0
Student,,,10.0,40.0,10.0,40.0,0.0,0.0
Software Engineer,Matplotlib,C#/.NET,30.0,30.0,10.0,10.0,10.0,10.0
Data Scientist,Matplotlib,,10.0,40.0,15.0,5.0,10.0,20.0
Student,,,10.0,10.0,10.0,30.0,20.0,20.0
Other,Matplotlib,SAS/STATA,10.0,45.0,15.0,15.0,3.0,12.0
Student,Matplotlib,Python,25.0,25.0,10.0,30.0,10.0,0.0
Data Scientist,Matplotlib,,30.0,30.0,5.0,10.0,20.0,5.0
Student,Matplotlib,Python,5.0,10.0,25.0,60.0,0.0,0.0
Not employed,,Bash,,,,,,
Research Assistant,,Python,30.0,10.0,15.0,30.0,10.0,5.0
Student,,Java,30.0,20.0,20.0,10.0,10.0,10.0
Data Engineer,,SQL,30.0,20.0,10.0,10.0,10.0,20.0
Research Scientist,,SAS/STATA,20.0,50.0,5.0,10.0,5.0,10.0
Software Engineer,,Java,,,,,,
Student,,Python,0.0,0.0,50.0,50.0,0.0,0.0
Not employed,,Python,10.0,30.0,5.0,15.0,10.0,20.0
Data Scientist,Matplotlib,,20.0,10.0,40.0,30.0,0.0,0.0
Student,ggplot2,C/C++,0.0,0.0,30.0,40.0,30.0,0.0
Manager,Matplotlib,Visual Basic/VBA,40.0,20.0,10.0,10.0,10.0,10.0
Student,,Python,20.0,10.0,10.0,20.0,20.0,10.0
Student,,R,0.0,50.0,15.0,30.0,0.0,5.0
Research Assistant,,MATLAB,20.0,10.0,10.0,30.0,15.0,10.0
Other,Matplotlib,SQL,25.0,35.0,13.0,10.0,5.0,7.0
Data Analyst,,R,10.0,10.0,20.0,20.0,20.0,10.0
Student,,Python,20.0,5.0,5.0,20.0,40.0,10.0
Data Scientist,Matplotlib,Python,30.0,0.0,0.0,40.0,30.0,0.0
Data Scientist,Seaborn,Python,5.0,5.0,5.0,15.0,10.0,60.0
Software Engineer,ggplot2,Javascript/Typescript,10.0,40.0,20.0,15.0,5.0,5.0
Research Assistant,,Python,10.0,20.0,10.0,30.0,30.0,0.0
Student,Matplotlib,MATLAB,10.0,30.0,30.0,10.0,10.0,5.0
Software Engineer,Matplotlib,,35.0,15.0,10.0,20.0,10.0,5.0
Product/Project Manager,,SQL,,,,,,
Software Engineer,Matplotlib,SQL,20.0,15.0,10.0,30.0,10.0,10.0
Data Scientist,ggplot2,R,15.0,40.0,10.0,10.0,10.0,15.0
Student,Matplotlib,Python,0.0,0.0,20.0,60.0,0.0,20.0
Not employed,Matplotlib,,10.0,30.0,20.0,15.0,10.0,15.0
Data Engineer,,,10.0,50.0,5.0,20.0,10.0,5.0
Student,,,10.0,30.0,10.0,50.0,0.0,0.0
Student,Matplotlib,Python,10.0,15.0,15.0,20.0,20.0,20.0
Student,Matplotlib,Python,30.0,20.0,15.0,10.0,10.0,5.0
Software Engineer,,SQL,,,,,,
Research Scientist,Matplotlib,Python,0.0,10.0,15.0,40.0,0.0,15.0
Student,Matplotlib,Python,5.0,25.0,20.0,20.0,20.0,10.0
Research Scientist,Matplotlib,,20.0,5.0,20.0,40.0,5.0,5.0
Business Analyst,Matplotlib,SAS/STATA,5.0,15.0,5.0,40.0,10.0,10.0
Data Scientist,Matplotlib,,10.0,20.0,10.0,20.0,20.0,20.0
Manager,,PHP,20.0,20.0,10.0,10.0,20.0,20.0
Data Analyst,Matplotlib,,5.0,25.0,10.0,30.0,15.0,10.0
Not employed,,,10.0,25.0,15.0,10.0,10.0,20.0
Business Analyst,,C/C++,20.0,50.0,10.0,15.0,0.0,5.0
Data Analyst,,Python,12.0,12.0,12.0,12.0,12.0,20.0
Other,,,20.0,15.0,5.0,20.0,30.0,5.0
Not employed,Matplotlib,,5.0,30.0,10.0,50.0,0.0,5.0
Student,Matplotlib,,0.0,50.0,30.0,0.0,10.0,10.0
Data Scientist,Matplotlib,Python,20.0,20.0,10.0,25.0,10.0,15.0
Student,,,10.0,25.0,15.0,30.0,10.0,5.0
Research Scientist,Matplotlib,Python,10.0,5.0,5.0,70.0,5.0,5.0
Data Scientist,Matplotlib,Python,25.0,15.0,10.0,10.0,20.0,10.0
Student,,C/C++,10.0,10.0,15.0,20.0,20.0,15.0
Student,Matplotlib,C/C++,20.0,10.0,30.0,25.0,5.0,0.0
Student,,Python,0.0,0.0,0.0,20.0,50.0,0.0
Data Analyst,Plotly,Python,20.0,30.0,10.0,20.0,5.0,14.0
Data Scientist,Matplotlib,Python,20.0,30.0,10.0,10.0,10.0,20.0
Student,Matplotlib,Python,20.0,20.0,15.0,20.0,0.0,15.0
Student,,Python,10.0,30.0,10.0,15.0,25.0,10.0
Student,Matplotlib,R,0.0,10.0,10.0,30.0,30.0,0.0
Data Scientist,,R,20.0,20.0,5.0,40.0,10.0,5.0
Software Engineer,,C/C++,10.0,15.0,5.0,30.0,20.0,15.0
Data Scientist,Matplotlib,,10.0,10.0,5.0,45.0,20.0,10.0
Data Scientist,Matplotlib,Python,15.0,15.0,20.0,25.0,10.0,15.0
Data Scientist,ggplot2,R,12.0,40.0,1.0,10.0,3.0,33.0
Data Scientist,Matplotlib,,30.0,50.0,5.0,5.0,5.0,5.0
Student,,C/C++,5.0,30.0,20.0,20.0,15.0,10.0
Student,Matplotlib,Python,20.0,10.0,15.0,25.0,25.0,0.0
Not employed,ggplot2,R,15.0,40.0,20.0,18.0,2.0,4.0
Software Engineer,Matplotlib,Java,50.0,20.0,10.0,10.0,5.0,5.0
Student,Plotly,Java,5.0,20.0,15.0,30.0,10.0,15.0
Data Analyst,ggplot2,R,5.0,25.0,5.0,15.0,15.0,30.0
Business Analyst,,SQL,,,,,,
Software Engineer,Matplotlib,Python,25.0,20.0,5.0,30.0,10.0,10.0
Student,Matplotlib,Python,5.0,15.0,10.0,40.0,20.0,10.0
Research Scientist,Seaborn,,10.0,70.0,8.0,5.0,3.0,4.0
Data Scientist,Matplotlib,Python,10.0,50.0,10.0,10.0,10.0,10.0
Data Scientist,Matplotlib,R,10.0,25.0,5.0,35.0,10.0,5.0
Business Analyst,,SQL,50.0,10.0,20.0,0.0,0.0,20.0
Software Engineer,Matplotlib,Python,10.0,30.0,15.0,20.0,10.0,10.0
Data Analyst,Seaborn,Python,10.0,20.0,10.0,10.0,25.0,20.0
Data Analyst,Seaborn,Python,30.0,40.0,20.0,5.0,0.0,5.0
Data Engineer,,Scala,15.0,10.0,20.0,20.0,10.0,15.0
Software Engineer,,Java,,,,,,
Software Engineer,,,0.0,90.0,0.0,10.0,0.0,0.0
Business Analyst,,Python,,,,,,
Data Analyst,Seaborn,Python,25.0,25.0,15.0,10.0,0.0,15.0
Student,,C/C++,10.0,20.0,5.0,30.0,10.0,20.0
Software Engineer,ggplot2,C#/.NET,10.0,30.0,10.0,25.0,5.0,10.0
Data Scientist,Matplotlib,Python,20.0,10.0,5.0,40.0,20.0,5.0
Data Scientist,Seaborn,Python,5.0,20.0,1.0,30.0,35.0,6.0
Software Engineer,Matplotlib,Python,40.0,10.0,10.0,20.0,15.0,5.0
Data Scientist,,Python,30.0,10.0,0.0,50.0,5.0,5.0
Software Engineer,Matplotlib,,35.0,20.0,10.0,10.0,10.0,10.0
Data Analyst,,PHP,20.0,30.0,10.0,20.0,10.0,10.0
Data Scientist,Matplotlib,,10.0,20.0,15.0,30.0,15.0,10.0
Student,,,,,,,,
Data Scientist,ggplot2,R,10.0,30.0,10.0,20.0,10.0,20.0
Data Scientist,,Python,0.0,50.0,50.0,0.0,0.0,0.0
Data Analyst,Matplotlib,Python,10.0,20.0,5.0,40.0,12.0,10.0
Data Scientist,Matplotlib,Python,10.0,20.0,20.0,30.0,10.0,10.0
Data Scientist,Matplotlib,Python,5.0,10.0,0.0,50.0,10.0,10.0
Consultant,Matplotlib,Python,30.0,30.0,20.0,20.0,0.0,0.0
Consultant,ggplot2,Python,20.0,25.0,15.0,15.0,15.0,10.0
Research Scientist,,Python,20.0,30.0,10.0,20.0,20.0,0.0
Student,,Python,25.0,25.0,10.0,20.0,15.0,5.0
Student,,Python,20.0,20.0,10.0,10.0,10.0,10.0
Other,Matplotlib,Python,10.0,55.0,10.0,15.0,5.0,5.0
Other,Seaborn,Java,15.0,25.0,20.0,20.0,10.0,5.0
Salesperson,,,0.0,50.0,10.0,10.0,20.0,10.0
Student,Matplotlib,Python,5.0,40.0,15.0,25.0,0.0,15.0
Software Engineer,,Java,,,,,,
Data Scientist,Matplotlib,Python,10.0,30.0,20.0,10.0,20.0,10.0
Student,,Python,5.0,10.0,20.0,35.0,5.0,20.0
Student,Matplotlib,Python,5.0,40.0,20.0,10.0,10.0,15.0
Data Analyst,,SQL,30.0,10.0,50.0,0.0,0.0,10.0
Business Analyst,ggplot2,R,5.0,50.0,10.0,10.0,10.0,10.0
Data Scientist,Matplotlib,Python,0.0,20.0,20.0,10.0,10.0,30.0
Data Engineer,,SQL,5.0,50.0,10.0,25.0,5.0,5.0
Student,,C/C++,,,,,,
Not employed,,,90.0,5.0,2.0,2.0,0.0,1.0
Product/Project Manager,ggplot2,R,30.0,30.0,40.0,0.0,0.0,0.0
Data Scientist,Shiny,Python,5.0,30.0,20.0,15.0,10.0,20.0
Other,ggplot2,R,10.0,20.0,10.0,20.0,20.0,20.0
Data Scientist,Matplotlib,Python,15.0,20.0,20.0,30.0,5.0,10.0
Student,Seaborn,Python,5.0,30.0,20.0,25.0,10.0,5.0
Software Engineer,Matplotlib,Python,5.0,5.0,5.0,60.0,10.0,10.0
Data Scientist,Matplotlib,Python,5.0,20.0,10.0,30.0,30.0,5.0
Student,Matplotlib,,30.0,30.0,10.0,10.0,10.0,10.0
Data Scientist,,R,,,,,,
Not employed,Seaborn,,10.0,50.0,20.0,10.0,0.0,5.0
Data Analyst,Matplotlib,,30.0,20.0,10.0,15.0,10.0,15.0
Student,Matplotlib,,10.0,10.0,20.0,20.0,20.0,20.0
Software Engineer,Seaborn,Python,10.0,10.0,20.0,30.0,10.0,10.0
Data Scientist,,Python,10.0,20.0,10.0,30.0,10.0,15.0
Student,,Java,,,,,,
Manager,Plotly,,0.0,50.0,20.0,10.0,20.0,0.0
Research Scientist,,MATLAB,0.0,0.0,0.0,90.0,10.0,0.0
Research Scientist,Shiny,R,10.0,10.0,10.0,40.0,20.0,10.0
Student,Plotly,Python,15.0,20.0,15.0,10.0,20.0,15.0
Data Analyst,,R,10.0,30.0,10.0,15.0,10.0,20.0
Student,,MATLAB,5.0,30.0,30.0,20.0,5.0,10.0
Student,Matplotlib,Python,30.0,20.0,7.0,15.0,13.0,10.0
Product/Project Manager,Matplotlib,Python,50.0,50.0,0.0,0.0,0.0,0.0
Data Engineer,Seaborn,Python,10.0,30.0,20.0,20.0,10.0,10.0
Student,,Python,10.0,10.0,10.0,40.0,20.0,10.0
DBA/Database Engineer,Matplotlib,SQL,30.0,10.0,5.0,50.0,0.0,0.0
Software Engineer,,C/C++,0.0,30.0,30.0,30.0,10.0,0.0
Other,ggplot2,R,5.0,30.0,40.0,15.0,0.0,10.0
Not employed,Matplotlib,Python,0.0,0.0,50.0,0.0,0.0,50.0
Student,Matplotlib,Python,10.0,10.0,20.0,40.0,10.0,10.0
Student,,C/C++,0.0,20.0,20.0,60.0,0.0,0.0
Student,,C/C++,10.0,20.0,15.0,10.0,35.0,5.0
Student,,C/C++,25.0,20.0,10.0,20.0,15.0,10.0
Student,Matplotlib,Python,10.0,25.0,10.0,50.0,0.0,0.0
Data Engineer,,MATLAB,100.0,0.0,0.0,0.0,0.0,0.0
Software Engineer,Seaborn,Python,30.0,40.0,20.0,10.0,0.0,0.0
Software Engineer,Matplotlib,Python,30.0,20.0,10.0,10.0,10.0,20.0
Student,,C/C++,,,,,,
Software Engineer,Plotly,Python,5.0,10.0,10.0,20.0,20.0,20.0
Student,Matplotlib,C/C++,20.0,10.0,10.0,40.0,10.0,10.0
Data Scientist,Shiny,Python,10.0,15.0,10.0,35.0,15.0,15.0
Data Scientist,Matplotlib,Python,0.0,70.0,0.0,15.0,15.0,0.0
Data Journalist,Matplotlib,Python,10.0,20.0,10.0,20.0,5.0,20.0
Consultant,Matplotlib,SQL,20.0,20.0,15.0,15.0,10.0,10.0
Student,Matplotlib,Python,15.0,10.0,10.0,25.0,30.0,5.0
Not employed,,C/C++,30.0,5.0,5.0,20.0,30.0,10.0
Business Analyst,Matplotlib,Visual Basic/VBA,20.0,35.0,5.0,15.0,10.0,10.0
Software Engineer,,Python,30.0,20.0,10.0,10.0,10.0,10.0
Data Scientist,Matplotlib,Python,5.0,35.0,10.0,25.0,5.0,1.0
Product/Project Manager,ggplot2,Python,20.0,40.0,20.0,10.0,0.0,10.0
Student,,Python,0.0,0.0,0.0,100.0,0.0,0.0
Other,,,30.0,20.0,10.0,10.0,20.0,10.0
Student,,Python,5.0,5.0,10.0,45.0,35.0,0.0
Student,,MATLAB,30.0,20.0,20.0,30.0,0.0,0.0
Data Scientist,Matplotlib,Python,10.0,25.0,25.0,30.0,10.0,0.0
Data Scientist,Matplotlib,Python,20.0,20.0,20.0,20.0,10.0,10.0
Student,,Python,,,,,,
Data Analyst,Plotly,,25.0,10.0,5.0,25.0,15.0,20.0
Student,Matplotlib,Python,20.0,10.0,15.0,30.0,10.0,10.0
Student,,C/C++,10.0,20.0,10.0,30.0,10.0,10.0
Data Scientist,,R,40.0,20.0,20.0,10.0,5.0,5.0
Research Scientist,,C/C++,10.0,10.0,10.0,10.0,10.0,10.0
Software Engineer,,,,,,,,
Software Engineer,Plotly,SQL,20.0,20.0,15.0,15.0,20.0,10.0
Data Analyst,,Visual Basic/VBA,20.0,10.0,10.0,20.0,20.0,20.0
Data Analyst,Matplotlib,,10.0,30.0,10.0,30.0,5.0,15.0
Other,,Python,,,,,,
Software Engineer,,,0.0,0.0,0.0,0.0,0.0,0.0
Software Engineer,,Python,10.0,20.0,20.0,10.0,20.0,20.0
Software Engineer,Plotly,,20.0,25.0,25.0,10.0,10.0,10.0
Student,,Python,,,,,,
Student,,SQL,20.0,10.0,15.0,25.0,15.0,15.0
Data Scientist,Matplotlib,Python,10.0,25.0,10.0,15.0,15.0,15.0
Student,,C/C++,0.0,0.0,0.0,0.0,0.0,100.0
DBA/Database Engineer,,,,,,,,
Research Scientist,Matplotlib,Python,20.0,30.0,10.0,20.0,10.0,10.0
Data Scientist,Seaborn,Python,20.0,30.0,15.0,20.0,0.0,15.0
Software Engineer,,Python,60.0,10.0,11.0,5.0,4.0,5.0
Data Scientist,Seaborn,SAS/STATA,80.0,15.0,1.0,1.0,1.0,1.0
Data Scientist,,,20.0,10.0,10.0,35.0,10.0,10.0
Software Engineer,Geoplotlib,Python,0.0,30.0,20.0,10.0,30.0,10.0
Data Scientist,Matplotlib,,10.0,50.0,5.0,10.0,5.0,20.0
Data Scientist,Seaborn,Python,10.0,30.0,20.0,20.0,10.0,10.0
Data Analyst,ggplot2,SQL,20.0,10.0,30.0,10.0,10.0,10.0
Data Scientist,Matplotlib,Python,10.0,10.0,30.0,30.0,10.0,10.0
Product/Project Manager,Seaborn,R,30.0,25.0,20.0,10.0,5.0,10.0
Not employed,,,,,,,,
Not employed,Matplotlib,Python,10.0,30.0,10.0,20.0,10.0,10.0
Student,,Python,,,,,,
Data Scientist,ggplot2,Python,10.0,30.0,10.0,10.0,30.0,10.0
Data Scientist,,Python,10.0,30.0,10.0,20.0,15.0,15.0
Data Scientist,Matplotlib,Python,10.0,30.0,10.0,30.0,10.0,10.0
Student,Matplotlib,Java,16.0,16.0,16.0,16.0,16.0,16.0
Research Scientist,,Python,10.0,10.0,20.0,30.0,20.0,10.0
Data Analyst,Matplotlib,Python,10.0,20.0,10.0,20.0,20.0,10.0
Student,,Python,10.0,20.0,5.0,30.0,20.0,15.0
Student,Matplotlib,Python,10.0,30.0,20.0,10.0,20.0,10.0
Data Engineer,Matplotlib,Python,10.0,40.0,10.0,30.0,0.0,0.0
Student,,Java,10.0,30.0,20.0,30.0,10.0,0.0
Student,Matplotlib,Python,10.0,15.0,15.0,20.0,15.0,20.0
Data Scientist,Seaborn,Python,15.0,20.0,15.0,20.0,10.0,20.0
Data Scientist,ggplot2,Python,0.0,60.0,20.0,10.0,0.0,10.0
Software Engineer,Matplotlib,Java,10.0,40.0,20.0,30.0,0.0,0.0
Software Engineer,,C/C++,10.0,0.0,10.0,70.0,0.0,0.0
Data Scientist,Matplotlib,Python,50.0,20.0,5.0,15.0,8.0,2.0
DBA/Database Engineer,,SQL,30.0,30.0,20.0,20.0,0.0,0.0
Software Engineer,,Python,10.0,25.0,25.0,25.0,10.0,5.0
Student,Seaborn,Python,5.0,5.0,10.0,40.0,20.0,15.0
Student,,,,,,,,
Business Analyst,,SQL,,,,,,
Not employed,Matplotlib,Python,10.0,30.0,15.0,25.0,5.0,15.0
Student,Matplotlib,Java,10.0,10.0,10.0,30.0,10.0,20.0
Research Assistant,,Python,5.0,20.0,0.0,75.0,0.0,0.0
Product/Project Manager,ggplot2,R,0.0,40.0,30.0,0.0,0.0,30.0
Data Scientist,,Python,,,,,,
Not employed,Matplotlib,Python,,,,,,
Business Analyst,ggplot2,,20.0,20.0,20.0,20.0,0.0,20.0
Manager,,SQL,39.0,41.0,0.0,0.0,0.0,20.0
Software Engineer,,SQL,10.0,20.0,30.0,5.0,10.0,10.0
Software Engineer,Matplotlib,Java,10.0,30.0,20.0,20.0,0.0,20.0
Software Engineer,Seaborn,Javascript/Typescript,20.0,20.0,10.0,30.0,5.0,5.0
Student,,Python,10.0,10.0,10.0,50.0,20.0,0.0
Software Engineer,Matplotlib,C/C++,20.0,10.0,10.0,50.0,10.0,0.0
Not employed,,Java,,,,,,
Student,,Java,,,,,,
Software Engineer,Matplotlib,Python,50.0,25.0,5.0,15.0,5.0,0.0
Data Scientist,Matplotlib,,15.0,35.0,10.0,15.0,15.0,10.0
Chief Officer,,Python,5.0,20.0,20.0,30.0,5.0,20.0
Student,Matplotlib,Python,20.0,30.0,20.0,10.0,10.0,10.0
Data Engineer,Matplotlib,Python,50.0,10.0,10.0,10.0,10.0,5.0
Student,Matplotlib,Python,,,,,,
Student,,MATLAB,50.0,20.0,30.0,0.0,0.0,0.0
Data Scientist,ggplot2,Other,0.0,25.0,15.0,50.0,8.0,2.0
Student,,Python,20.0,40.0,20.0,10.0,5.0,5.0
Student,,MATLAB,10.0,5.0,5.0,80.0,0.0,0.0
Student,Matplotlib,,10.0,5.0,2.0,40.0,20.0,20.0
Student,,R,50.0,20.0,10.0,10.0,0.0,10.0
Data Analyst,,Python,10.0,40.0,10.0,30.0,10.0,0.0
Research Assistant,Matplotlib,Java,,,,,,
Data Scientist,,R,5.0,40.0,15.0,20.0,5.0,10.0
Other,Shiny,R,10.0,20.0,10.0,10.0,30.0,20.0
Software Engineer,,,100.0,0.0,0.0,0.0,0.0,0.0
Data Scientist,,Python,10.0,50.0,10.0,30.0,0.0,0.0
Not employed,Matplotlib,R,10.0,20.0,20.0,20.0,10.0,20.0
Student,Matplotlib,Python,30.0,20.0,10.0,30.0,0.0,0.0
Software Engineer,Seaborn,Python,20.0,20.0,20.0,20.0,0.0,10.0
Data Scientist,Plotly,Python,5.0,20.0,15.0,20.0,15.0,20.0
Research Assistant,Seaborn,Python,10.0,10.0,10.0,50.0,0.0,20.0
Manager,Matplotlib,SQL,10.0,20.0,10.0,10.0,20.0,20.0
Research Assistant,Seaborn,Python,10.0,20.0,0.0,0.0,0.0,0.0
Data Analyst,Matplotlib,,10.0,30.0,10.0,10.0,20.0,20.0
Data Scientist,Matplotlib,MATLAB,10.0,15.0,15.0,30.0,10.0,20.0
Data Scientist,,,10.0,30.0,0.0,30.0,30.0,0.0
Student,,Python,20.0,10.0,10.0,25.0,10.0,20.0
Student,Matplotlib,C/C++,30.0,16.0,25.0,20.0,2.0,4.0
Research Assistant,,Python,10.0,30.0,20.0,20.0,10.0,10.0
Student,Matplotlib,Python,20.0,30.0,5.0,20.0,5.0,15.0
Research Assistant,Matplotlib,Python,0.0,60.0,0.0,30.0,10.0,0.0
Student,Matplotlib,Python,15.0,20.0,20.0,10.0,15.0,15.0
Software Engineer,,C/C++,20.0,0.0,10.0,70.0,0.0,0.0
Student,,C/C++,,,,,,
Student,,Java,40.0,10.0,10.0,10.0,10.0,10.0
Consultant,Other,Java,20.0,20.0,10.0,40.0,10.0,0.0
Data Analyst,Plotly,Python,10.0,30.0,15.0,35.0,5.0,5.0
Not employed,,Javascript/Typescript,5.0,5.0,15.0,25.0,25.0,25.0
Student,Matplotlib,Python,5.0,5.0,5.0,30.0,30.0,20.0
Data Analyst,Matplotlib,Python,5.0,20.0,20.0,50.0,0.0,0.0
Manager,Matplotlib,Python,0.0,40.0,10.0,30.0,10.0,10.0
Consultant,Seaborn,Python,10.0,10.0,10.0,50.0,0.0,0.0
Student,,C/C++,30.0,20.0,10.0,10.0,10.0,20.0
Business Analyst,Matplotlib,,10.0,40.0,10.0,10.0,10.0,10.0
Student,Matplotlib,,20.0,30.0,10.0,40.0,0.0,0.0
Software Engineer,Matplotlib,C#/.NET,5.0,20.0,10.0,40.0,15.0,10.0
Not employed,Matplotlib,C/C++,10.0,25.0,20.0,15.0,15.0,10.0
Business Analyst,ggplot2,R,25.0,35.0,15.0,10.0,0.0,15.0
Data Analyst,,,70.0,10.0,5.0,0.0,5.0,5.0
Data Analyst,Matplotlib,SAS/STATA,0.0,25.0,20.0,20.0,0.0,0.0
Manager,Seaborn,Python,20.0,30.0,20.0,20.0,0.0,10.0
Not employed,Plotly,Java,20.0,10.0,20.0,10.0,10.0,30.0
Other,,Python,40.0,10.0,5.0,30.0,0.0,0.0
Product/Project Manager,Seaborn,Python,10.0,40.0,15.0,10.0,10.0,15.0
Student,ggplot2,SQL,10.0,20.0,5.0,30.0,20.0,15.0
Student,,Python,30.0,10.0,10.0,5.0,25.0,20.0
Data Scientist,Seaborn,Python,10.0,60.0,5.0,10.0,1.0,4.0
Data Scientist,Seaborn,Python,5.0,25.0,5.0,25.0,20.0,10.0
Data Scientist,,SQL,,,,,,
Not employed,,,60.0,20.0,10.0,10.0,0.0,0.0
Software Engineer,Matplotlib,Python,10.0,20.0,20.0,40.0,5.0,5.0
Data Engineer,Matplotlib,,5.0,30.0,20.0,20.0,15.0,10.0
Research Scientist,ggplot2,Python,35.0,15.0,30.0,20.0,0.0,0.0
Data Analyst,,Python,15.0,10.0,10.0,25.0,20.0,15.0
Software Engineer,Seaborn,Python,10.0,15.0,15.0,30.0,15.0,15.0
Data Scientist,Matplotlib,Python,30.0,10.0,10.0,30.0,10.0,10.0
Student,,C/C++,0.0,0.0,30.0,30.0,20.0,20.0
Data Scientist,Matplotlib,Python,15.0,20.0,10.0,20.0,15.0,10.0
Other,ggplot2,R,10.0,10.0,13.0,22.0,5.0,10.0
Student,Seaborn,Python,25.0,25.0,10.0,20.0,10.0,10.0
Consultant,,SAS/STATA,0.0,50.0,15.0,15.0,10.0,10.0
Not employed,,Python,,,,,,
Data Scientist,,Python,10.0,20.0,10.0,20.0,20.0,20.0
Data Scientist,Seaborn,Python,25.0,30.0,20.0,5.0,10.0,10.0
Student,Seaborn,Python,10.0,20.0,30.0,20.0,20.0,0.0
Data Scientist,Matplotlib,Python,20.0,10.0,30.0,10.0,30.0,0.0
Student,,Python,20.0,20.0,5.0,30.0,10.0,10.0
Student,,C/C++,30.0,10.0,10.0,20.0,10.0,20.0
Data Scientist,,SQL,20.0,10.0,20.0,15.0,25.0,10.0
Data Analyst,,C/C++,20.0,30.0,20.0,5.0,10.0,15.0
Data Scientist,Seaborn,Python,15.0,35.0,10.0,20.0,10.0,10.0
Product/Project Manager,,SQL,20.0,20.0,10.0,20.0,10.0,10.0
Data Analyst,Plotly,PHP,10.0,30.0,20.0,20.0,5.0,10.0
Student,Matplotlib,Python,10.0,20.0,10.0,20.0,20.0,20.0
Student,,Other,5.0,10.0,5.0,75.0,5.0,0.0
Software Engineer,Matplotlib,Python,6.0,20.0,10.0,20.0,10.0,10.0
Student,Matplotlib,Python,2.0,30.0,20.0,10.0,10.0,10.0
Student,,,10.0,20.0,10.0,20.0,20.0,20.0
Data Scientist,ggplot2,R,10.0,30.0,10.0,30.0,10.0,10.0
Data Analyst,,Python,,,,,,
Student,,Python,10.0,50.0,20.0,20.0,0.0,0.0
Software Engineer,Matplotlib,Javascript/Typescript,10.0,30.0,20.0,20.0,0.0,20.0
Research Assistant,Matplotlib,Python,15.0,10.0,15.0,30.0,0.0,30.0
Data Engineer,Matplotlib,Python,4.0,25.0,11.0,30.0,11.0,9.0
Student,Matplotlib,Python,5.0,5.0,5.0,50.0,30.0,5.0
Student,Seaborn,Python,10.0,10.0,20.0,30.0,10.0,10.0
Statistician,,R,10.0,30.0,10.0,20.0,0.0,30.0
Software Engineer,Seaborn,Python,20.0,40.0,0.0,30.0,10.0,0.0
Student,,,30.0,15.0,10.0,20.0,10.0,10.0
Marketing Analyst,Matplotlib,Python,10.0,30.0,15.0,15.0,10.0,10.0
Data Engineer,,Python,10.0,0.0,10.0,30.0,50.0,0.0
Software Engineer,Seaborn,SQL,0.0,30.0,30.0,20.0,10.0,10.0
Research Assistant,Matplotlib,Python,10.0,10.0,5.0,55.0,20.0,0.0
Research Scientist,,MATLAB,25.0,25.0,25.0,25.0,0.0,0.0
Student,Seaborn,Python,5.0,10.0,10.0,5.0,40.0,30.0
Student,,Python,5.0,15.0,20.0,25.0,20.0,15.0
Research Scientist,Matplotlib,Python,0.0,20.0,5.0,70.0,0.0,5.0
